"id","courses_id","availability_id","time_start","time_end","spots","pontifex_id","spots_taken","created_at","updated_at"
20006,22,2524,"19:00:00","20:00:00",10,18820,"","","2020-10-05 16:00:08"
20007,22,2525,"19:00:00","20:00:00",11,18798,"","","2020-10-05 16:00:08"
20013,22,2539,"17:30:00","18:30:00",8,20044,"","","2020-10-05 16:00:07"
20389,23,579,"19:00:00","20:00:00",5,18975,"{""11"":1}","","2020-10-05 16:00:07"
20399,23,635,"19:00:00","20:00:00",3,18761,"","","2020-10-05 16:00:04"
20400,23,636,"19:00:00","20:00:00",3,19124,"","","2020-10-05 16:00:05"
20401,23,637,"19:00:00","20:00:00",11,18762,"","","2020-10-05 16:00:07"
20402,23,638,"19:00:00","20:00:00",13,19125,"","","2020-10-05 16:00:07"
20403,23,639,"19:00:00","20:00:00",11,18763,"","","2020-10-05 16:00:08"
20405,23,651,"19:00:00","20:00:00",6,18508,"","","2020-10-05 16:00:05"
20406,23,652,"19:00:00","20:00:00",13,18509,"","","2020-10-05 16:00:07"
20410,23,679,"19:00:00","20:00:00",10,19104,"","","2020-10-05 16:00:07"
20420,23,736,"19:00:00","20:00:00",9,19186,"","","2020-10-05 16:00:05"
20421,23,737,"19:00:00","20:00:00",8,19187,"","","2020-10-05 16:00:05"
20422,23,738,"19:00:00","20:00:00",4,19188,"","","2020-10-05 16:00:06"
20423,23,739,"19:00:00","20:00:00",7,19189,"","","2020-10-05 16:00:06"
20424,23,740,"19:00:00","20:00:00",7,19190,"","","2020-10-05 16:00:07"
20425,23,741,"19:00:00","20:00:00",8,19191,"","","2020-10-05 16:00:07"
20426,23,742,"19:00:00","20:00:00",8,19192,"","","2020-10-05 16:00:07"
20427,23,743,"19:00:00","20:00:00",9,19193,"","","2020-10-05 16:00:08"
20432,23,801,"17:30:00","18:30:00",7,19986,"{""11"":2}","","2020-10-05 16:00:05"
20433,23,802,"19:00:00","20:00:00",7,19543,"","","2020-10-05 16:00:06"
20434,23,803,"17:30:00","18:30:00",12,19987,"","","2020-10-05 16:00:07"
20435,23,805,"19:00:00","20:00:00",10,19544,"","","2020-10-05 16:00:08"
20445,23,841,"17:30:00","18:30:00",18,20022,"","","2020-10-05 16:00:05"
20446,23,842,"19:00:00","20:00:00",15,18912,"","","2020-10-05 16:00:05"
20447,23,843,"19:00:00","20:00:00",6,20035,"{""11"":1}","","2020-10-05 16:00:06"
20448,23,844,"17:30:00","18:30:00",20,20023,"","","2020-10-05 16:00:06"
20449,23,845,"17:30:00","18:30:00",8,20049,"{""11"":1}","","2020-10-05 16:00:06"
20450,23,846,"19:00:00","20:00:00",12,20036,"","","2020-10-05 16:00:07"
20451,23,847,"19:00:00","20:00:00",20,18913,"","","2020-10-05 16:00:07"
20452,23,848,"17:30:00","18:30:00",20,20024,"","","2020-10-05 16:00:08"
20458,23,871,"19:00:00","20:00:00",5,18951,"{""12"":1}","","2020-10-05 16:00:04"
20460,23,873,"19:00:00","20:00:00",11,18952,"","","2020-10-05 16:00:06"
